,Região Administrativa,CÓDIGO,ESTABELECIMENTO,ENDEREÇO,Nº,BAIRRO,CEP,FONE,lat,long
68,NORTE,24085340,CMEI PROFA TELMA REJANE MOURA FREIRE,RUA SÁLINAS,131D,LAGOA AZUL,59139040,87289060.0,-5.7319165,-35.2646465
69,NORTE,24064700,CMEI PROFA TEREZINHA DE JESUS,R. UBAIRA,184,PAJUCARA,59131040,,-5.7327641,-35.2476493
70,NORTE,24083178,CMEI PROFA TEREZINHA LINHARES FAUSTINO,AV DR JOÃO MEDEIROS FILHO,265,REDINHA,59122200,32324872.0,-5.764825,-35.2547479
71,NORTE,24082651,CMEI SANTA CECÍLIA,R JOSIVALDO GOMES,856,PAJUCARA,59125320,32329476.0,-5.728655100000001,-35.2393271
72,NORTE,24077453,CMEI SANTA MÔNICA,RUA VISCONDE DE OURO PRETO,340,PAJUCARA,59131360,32329469.0,-5.7215134,-35.2459513
73,SUL,24058890,ESC MUL PROF ANTÔNIO SEVERIANO,AV OURO PRETO,2754,NEÓPOLIS,59088690,32324762.0,-5.870623300000001,-35.2149027
74,SUL,24058912,ESC MUL PROF ARNALDO MONTEIRO BEZERRA,ARACITABA,2993,NEÓPOLIS,59084080,32324763.0,-5.8688852,-35.1976105
75,SUL,24060690,ESC MUL PROF ASCENDINO DE ALMEIDA,RUA JOAQUIM CARDOSO,,PITIMBU,59069010,32324767.0,-5.8496485,-35.2391978
76,SUL,24058793,ESC MUL PROF CARLOS BELLO MORENO,RUA ARAPIRACA,SN,NEÓPOLIS,59086210,32324761.0,-5.8635867,-35.2069927
77,SUL,24075710,ESC MUL PROF OTTO DE BRITO GUERRA,RUA SERRA DA JUREMA,SN,PITIMBU,59068150,32328373.0,-5.8559237,-35.2462185
78,SUL,24064009,ESC MUL PROFA JOSEFA BOTELHO,RUA MANOEL CONGO,318,PONTA NEGRA,59090300,32324811.0,-5.891036799999999,-35.1695041
79,SUL,24059013,ESC MUL SÃO JOSÉ,"RUA VEREADOR MANOEL CORINGA DE LEMOS,",434,PONTA NEGRA,59090190,32324810.0,-16.3328762,-48.9690246
80,SUL,24058971,ESC MUL PROF ULISSES DE GOIS,PADRE RAIMUNDO BRASIL,SN,NOVA DESCOBERTA,59075100,32324770.0,-5.825755099999999,-35.1995496
81,LESTE,24071633,ESC MUL 4º CENTENÁRIO,AV.FLORIANO PEIXOTO,295,PETRÓPOLIS,59012500,32151130.0,-5.7819628,-35.2006807
82,LESTE,24058858,ESC MUL HENRIQUE CASTRICIANO,RUA DECIO FONSECA,633,SANTOS REIS,59010370,32324791.0,-5.7727577,-35.197244
83,LESTE,24058866,ESC MUL JOÃO XXIII,RUA DOS PAJEUS,1875,ALECRIM,59031800,32324854.0,-6.093858,-36.4692478
84,LESTE,24058874,ESC MUL JUVENAL LAMARTINE,RUA PRESIDENTE SÁRMENTO,1156,ALECRIM,59032400,32324852.0,-5.808546799999999,-35.2148117
85,LESTE,24057452,ESC MUL MONSENHOR JOAQUIM HONÓRIO,RUA PTE MASCARENHAS,768,ALECRIM,59035540,32324851.0,-5.8039364,-35.22370009999999
86,LESTE,24058785,ESC MUL PROF ANTÔNIO CAMPOS E SILVA,RUA JOÃO XXIII,1821,MÃE LUIZA,59014000,32324800.0,-5.7946079,-35.1890768
87,LESTE,24058998,ESC MUL PROFA LAURA MAIA,RUA DO MOTOR,707,PRAIA DO MEIO,59010090,32324801.0,-5.781763,-35.1938585
88,LESTE,24065617,ESC MUL PROFA MARECI GOMES DOS SANTOS,TRAVESSÁ OCIDENTAL DE BAIXO,333,CIDADE ALTA,59040080,32032009.0,-5.7890447,-35.2129653
89,LESTE,24069680,ESC MUL SANTOS REIS,RUA DECIO FONSECA,S/N,SANTOS REIS,59010370,32324802.0,-5.7687886,-35.2025349
90,OESTE,24058807,ESC MUL CELESTINO PIMENTEL,PERNAMBUCO,145,CIDADE DA ESPERANÇA,59070300,33011379.0,-5.825703,-35.236084
91,OESTE,24058815,ESC MUL CHICO SÁNTEIRO,RUA DA CRUZ,SN,NORDESTE,59042150,32324855.0,-5.7981875,-35.2417292
92,OESTE,24058831,ESC MUL DJALMA MARANHÃO,RUA SANTA MARIA MADALENA,2,FELIPE CAMARÃO,59074540,32324783.0,-5.830180100000001,-35.2474022
93,OESTE,24065935,ESC MUL ESTUDANTE EMMANUEL BEZERRA,RUA MIRA MANGUE,1187,PLANALTO,59073230,32324766.0,-5.848177,-35.25485
94,OESTE,24058840,ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU,RUA DOS PEGAS,SN,QUINTAS,59035100,32324859.0,-5.8005384,-35.2293391
95,OESTE,24059021,ESC MUL NOSSA SRA DAS DORES,RUA RIO POTENGI,3556,QUINTAS,59040580,32324862.0,-7.5120963,-63.03326500000001
96,OESTE,24058882,ESC MUL PREF MÁRIO LIRA,AVENIDA ANTÔNIO BASILIO,"1,24",DIX-SEPT ROSÁDO,59054380,32324857.0,-5.8116237,-35.2168089
97,OESTE,24058920,ESC MUL PROF BERILO WANDERLEY,RUA DOS PAIANASÉS,S/N,QUINTAS,59052350,32324856.0,-5.8692808,-35.2066487
98,OESTE,24058939,ESC MUL PROF BERNARDO DO NASCIMENTO,RUA NOSSA SENHORA DO LIVRAMENTO,,FELIPE CAMARÃO,59072420,32058057.0,-5.8299742,-35.2484088
99,OESTE,24058947,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI,RUA DA LAGOA SECA,,GUARAPES,59074750,32324765.0,-5.8414405,-35.2748136
100,OESTE,24060364,ESC MUL PROF LUÍS MARANHÃO FILHO,SOLANGE NUNES DO NASCIMENTO,239,CIDADE NOVA,59072500,32324775.0,-5.8324405,-35.2400724
101,OESTE,24066451,ESC MUL PROF VERÍSSIMO DE MELO,RUA RAINHA DO MAR,SN,FELIPE CAMARÃO,59074160,32324778.0,-5.8250742,-35.2607918
102,OESTE,24058823,ESC MUL PROF ZUZA,MIGUEL CASTRO,SNº,N. SRA DE NAZARÉ,59062000,32324868.0,-5.8149624,-35.2310457
103,OESTE,24069000,ESC MUL PROFA ALMERINDA BEZERRA FURTADO,RUA DA RIBEIRA,SN,GUARAPES,59074760,32324764.0,-5.7528269,-35.264464
104,OESTE,24060321,ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA,RUA PREF GENTIL FERREIRA,,QUINTAS,59050050,32324858.0,-5.8031065,-35.2364102
105,OESTE,24056731,ESC MUL PROFA EMÍLIA RAMOS,RUA DANTAS BARRETO,419,CIDADE NOVA,59072500,32322127.0,-5.8330271,-35.2400616
106,OESTE,24058980,ESC MUL PROFA FRANCISCA FERREIRA DA SILVA,AV INDUSTRIAL JOÃO FRANCISCO DA MOTA,3804,BOM PASTOR,59060480,32324861.0,-5.8092956,-35.24390959999999
107,OESTE,24058955,ESC MUL PROFA IVONETE MACIEL,AVENIDA INTERVENTOR MÁRIO CAMARA,3133,CIDADE DA ESPERANÇA,59070600,32324782.0,-5.825128299999999,-35.2344402
108,OESTE,24075698,ESC MUL PROFA MARIA CRISTINA OZÓRIO TAVARES,RUA ANTÔNIO CAROLINO,99,FELIPE CAMARÃO,59074330,32324773.0,-5.828888099999999,-35.26530230000001
109,OESTE,24338303,ESC MUL PROFA ZENEIDE IGINO DE MOURA,AV SOLANGE NUNES DO NASCIMENTO,277,CIDADE NOVA,59072500,32324774.0,-5.8328864,-35.2404497
